cluster,CGPA,Failed_Subjects,Attendance_Percentage,Study_Hours,Assignment_Submission,Lecture_Participation,Lab_Participation,Academic_Guidance,LMS_Logins,LMS_Hours,Motivation_Mean,Motivation_Trend,Stress_Mean,Stress_Trend,Sleep_Hours_Mean,Sleep_Hours_Trend,Confidence_Mean,Confidence_Trend,Social_Mean,Social_Trend,Relaxation_Mean,Relaxation_Trend,Workload_Mean,Workload_Trend
0,2.1965,2.05,1.6,3.6,29.05,3.35,3.1,0.0,7.1,9.225,2.9875,-0.9,3.7875,1.75,5.0625,-4.275,2.1125,-1.0,2.8,-2.45,4.925,-7.125,3.975,2.3
1,2.9691379310344828,0.8103448275862069,5.448275862068965,7.698275862068965,79.37931034482759,3.086206896551724,3.2758620689655173,0.0,6.637931034482759,8.706896551724139,3.9267241379310347,-0.27586206896551724,2.896551724137931,2.0,5.0280172413793105,-3.603448275862069,2.206896551724138,-1.0172413793103448,2.685344827586207,-2.6206896551724137,4.435344827586207,-5.741379310344827,4.163793103448276,2.1551724137931036
2,3.644285714285714,0.2857142857142857,9.0,17.61904761904762,88.0,3.0,2.7142857142857144,0.0,8.523809523809524,8.523809523809524,4.083333333333333,-1.0952380952380953,3.3333333333333335,2.0,4.654761904761905,-3.0476190476190474,3.880952380952381,0.14285714285714285,2.5357142857142856,-2.8095238095238093,4.196428571428571,-5.333333333333333,4.142857142857143,1.8095238095238095
