cluster,feature,abs_diff,cluster_mean,global_mean
0,Assignment_Submission,41.990404040404044,29.05,71.04040404040404
0,Study_Hours,5.374747474747474,3.6,8.974747474747474
0,Attendance_Percentage,3.8242424242424238,1.6,5.424242424242424
0,Relaxation_Trend,1.1906565656565657,-7.125,-5.934343434343434
0,Failed_Subjects,1.1005050505050504,2.05,0.9494949494949495
0,Motivation_Mean,0.7827020202020205,2.9875,3.7702020202020203
1,Assignment_Submission,8.338906304423546,79.37931034482759,71.04040404040404
1,Study_Hours,1.2764716126785087,7.698275862068965,8.974747474747474
1,LMS_Logins,0.4933820968303726,6.637931034482759,7.1313131313131315
1,Confidence_Mean,0.3360327412051549,2.206896551724138,2.542929292929293
1,Motivation_Trend,0.29989550679205856,-0.27586206896551724,-0.5757575757575758
1,Stress_Mean,0.27264019505398807,2.896551724137931,3.169191919191919
2,Assignment_Submission,16.95959595959596,88.0,71.04040404040404
2,Study_Hours,8.644300144300146,17.61904761904762,8.974747474747474
2,Attendance_Percentage,3.575757575757576,9.0,5.424242424242424
2,LMS_Logins,1.3924963924963922,8.523809523809524,7.1313131313131315
2,Confidence_Mean,1.3380230880230881,3.880952380952381,2.542929292929293
2,Confidence_Trend,0.9105339105339105,0.14285714285714285,-0.7676767676767676
